# ========
# captured on: Mon Jul 15 18:25:22 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match drawpointsdash --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 302, 303, 304, 305, 306, 307, 308, 309 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 8822239113
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.13%    bench  nouveau_dri.so           [.] nv50_state_validate                                                                                                                                                                                                                                                                                                                                                                                                  
     0.13%    bench  bench                    [.] SkPath::Iter::doNext(SkPoint*)                                                                                                                                                                                                                                                                                                                                                                                       
     0.12%    bench  bench                    [.] GrGpuGL::setupGeometry(GrDrawTarget::DrawInfo const&, unsigned long*)                                                                                                                                                                                                                                                                                                                                                
     0.12%    bench  bench                    [.] SkCanvas::drawPoints(SkCanvas::PointMode, unsigned long, SkPoint const*, SkPaint const&)                                                                                                                                                                                                                                                                                                                             
     0.12%    bench  bench                    [.] GrGLProgram::setData(GrGpuGL*, GrDrawState::BlendOptFlags, GrEffectStage const**, GrEffectStage const**, GrDeviceCoordTexture const*, GrGLProgram::SharedGLState*)                                                                                                                                                                                                                                                   
     0.11%    bench  libGL.so.1.2             [.] 0x0000000000041700                                                                                                                                                                                                                                                                                                                                                                                                   
     0.11%    bench  bench                    [.] GrDrawTarget::DrawInfo::adjustInstanceCount(int)                                                                                                                                                                                                                                                                                                                                                                     
     0.11%    bench  libdricore.so            [.] _mesa_HashLookup                                                                                                                                                                                                                                                                                                                                                                                                     
     0.11%    bench  bench                    [.] GrDrawState::getBlendOpts(bool, GrBlendCoeff*, GrBlendCoeff*) const                                                                                                                                                                                                                                                                                                                                                  
     0.11%    bench  bench                    [.] GrInOrderDrawBuffer::reset()                                                                                                                                                                                                                                                                                                                                                                                         
     0.10%    bench  bench                    [.] SkPath::Iter::consumeDegenerateSegments()                                                                                                                                                                                                                                                                                                                                                                            
     0.10%    bench  bench                    [.] GrDrawState::canTweakAlphaForCoverage() const                                                                                                                                                                                                                                                                                                                                                                        
     0.10%    bench  bench                    [.] GrDrawTarget::resetIndexSource()                                                                                                                                                                                                                                                                                                                                                                                     
     0.10%    bench  nouveau_dri.so           [.] util_format_description                                                                                                                                                                                                                                                                                                                                                                                              
     0.10%    bench  bench                    [.] SkPoint::normalize()                                                                                                                                                                                                                                                                                                                                                                                                 
     0.10%    bench  libgallium.so            [.] st_validate_state                                                                                                                                                                                                                                                                                                                                                                                                    
     0.10%    bench  libc-2.15.so             [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                               
     0.10%    bench  bench                    [.] GrDrawState::srcAlphaWillBeOne() const                                                                                                                                                                                                                                                                                                                                                                               
     0.09%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                                                                                                                                                                                             
     0.09%    bench  bench                    [.] GrGLAttribArrayState::disableUnusedAttribArrays(GrGpuGL const*, unsigned long)                                                                                                                                                                                                                                                                                                                                       
     0.09%    bench  bench                    [.] GrGLAttribArrayState::set(GrGpuGL const*, int, GrGLVertexBuffer*, int, unsigned int, unsigned char, int, void*)                                                                                                                                                                                                                                                                                                      
     0.09%    bench  libc-2.15.so             [.] free                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.09%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_emit_reloc                                                                                                                                                                                                                                                                                                                                                                                           
     0.08%    bench  nouveau_dri.so           [.] nv50_screen_make_buffers_resident                                                                                                                                                                                                                                                                                                                                                                                    
     0.08%    bench  bench                    [.] SkPath::SkPath()                                                                                                                                                                                                                                                                                                                                                                                                     
     0.08%    bench  bench                    [.] GrContext::getQuadIndexBuffer() const                                                                                                                                                                                                                                                                                                                                                                                
     0.08%    bench  libdricore.so            [.] _mesa_VertexAttribPointerARB                                                                                                                                                                                                                                                                                                                                                                                         
     0.08%    bench  bench                    [.] SkPath::moveTo(float, float)                                                                                                                                                                                                                                                                                                                                                                                         
     0.08%    bench  bench                    [.] GrClipMaskManager::setupClipping(GrClipData const*, GrDrawState::AutoRestoreEffects*)                                                                                                                                                                                                                                                                                                                                
     0.07%    bench  bench                    [.] GrClipMaskManager::setGpuStencil()                                                                                                                                                                                                                                                                                                                                                                                   
     0.07%    bench  libgallium.so            [.] st_pipe_vertex_format                                                                                                                                                                                                                                                                                                                                                                                                
     0.07%    bench  bench                    [.] GrGpuGL::flushBlend(bool, GrBlendCoeff, GrBlendCoeff)                                                                                                                                                                                                                                                                                                                                                                
     0.07%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_marker_emit                                                                                                                                                                                                                                                                                                                                                                                          
     0.07%    bench  libdricore.so            [.] _mesa_update_texture                                                                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  bench                    [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                                                                                                                                                                                        
     0.06%    bench  libfontconfig.so.1.4.4   [.] 0x000000000001bda3                                                                                                                                                                                                                                                                                                                                                                                                   
     0.06%    bench  bench                    [.] GrGLBufferImpl::bind(GrGpuGL*) const                                                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  bench                    [.] GrInOrderDrawBuffer::recordDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                                                                                                                                                                       
     0.06%    bench  bench                    [.] SkPaint::doComputeFastBounds(SkRect const&, SkRect*, SkPaint::Style) const                                                                                                                                                                                                                                                                                                                                           
     0.06%    bench  bench                    [.] GrInOrderDrawBuffer::recordState()                                                                                                                                                                                                                                                                                                                                                                                   
     0.06%    bench  bench                    [.] GrGpuGL::flushScissor()                                                                                                                                                                                                                                                                                                                                                                                              
     0.06%    bench  nouveau_dri.so           [.] nv50_bufctx_add_resident                                                                                                                                                                                                                                                                                                                                                                                             
     0.06%    bench  bench                    [.] GrGpuGL::flushMiscFixedFunctionState()                                                                                                                                                                                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] SkMatrix::postConcat(SkMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                
