# ========
# captured on: Mon Jul 15 18:27:24 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match chart_aa --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 310, 311, 312, 313, 314, 315, 316, 317 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2237847695
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.04%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessY>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessY)                                                                                                                                  
     0.04%    bench  bench                    [.] SkRegion::Oper(SkRegion const&, SkRegion const&, SkRegion::Op, SkRegion*)                                                                                                                                                                            
     0.04%    bench  bench                    [.] SkPath::~SkPath()                                                                                                                                                                                                                                    
     0.04%    bench  libdricore.so            [.] _mesa_bytes_per_pixel                                                                                                                                                                                                                                
     0.04%    bench  libc-2.15.so             [.] malloc                                                                                                                                                                                                                                               
     0.04%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessX>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessX)                                                                                                                                  
     0.04%    bench  libdrm.so.2.4.0          [.] drmCommandWriteRead                                                                                                                                                                                                                                  
     0.04%    bench  bench                    [.] SkString::printf(char const*, ...)                                                                                                                                                                                                                   
     0.04%    bench  bench                    [.] SkDraw::drawPath(SkPath const&, SkPaint const&, SkMatrix const*, bool) const                                                                                                                                                                         
     0.03%    bench  libfreetype.so.6.8.0     [.] TT_RunIns                                                                                                                                                                                                                                            
     0.03%    bench  libm-2.15.so             [.] __powf_finite                                                                                                                                                                                                                                        
     0.03%    bench  nouveau_dri.so           [.] util_format_is_supported                                                                                                                                                                                                                             
     0.03%    bench  libLLVM-3.0.so.1         [.] llvm::MCRegisterInfo::mapLLVMRegToDwarfReg(unsigned int, int, bool)                                                                                                                                                                                  
     0.03%    bench  libLLVM-3.0.so.1         [.] llvm::PassRegistry::getPassInfo(void const*) const                                                                                                                                                                                                   
     0.03%    bench  libLLVM-3.0.so.1         [.] llvm::sys::CompareAndSwap(unsigned int volatile*, unsigned int, unsigned int)                                                                                                                                                                        
     0.02%    bench  libgallium.so            [.] st_get_vp_variant                                                                                                                                                                                                                                    
     0.02%    bench  bench                    [.] SkString::SkString(SkString const&)                                                                                                                                                                                                                  
     0.02%    bench  bench                    [.] GrGLCaps::initStencilFormats(GrGLContextInfo const&)                                                                                                                                                                                                 
     0.02%    bench  libexpat.so.1.5.2        [.] memset@plt                                                                                                                                                                                                                                           
     0.01%    bench  libxcb.so.1.1.0          [.] 0x000000000000ac70                                                                                                                                                                                                                                   
     0.01%    bench  libX11.so.6.3.0          [.] _XGetRequest                                                                                                                                                                                                                                         


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
