# ========
# captured on: Mon Jul 15 18:30:14 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match blurrect_boxfilter --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 326, 327, 328, 329, 330, 331, 332, 333 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 9506848451
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%    bench  nouveau_dri.so           [.] strchr@plt                                                                                                                                                                                                                                                                                                                                                                                                           
     0.00%    bench  bench                    [.] F_126(void*)                                                                                                                                                                                                                                                                                                                                                                                                         
     0.00%    bench  libc-2.15.so             [.] srandom_r                                                                                                                                                                                                                                                                                                                                                                                                            
     0.00%    bench  libc-2.15.so             [.] random_r                                                                                                                                                                                                                                                                                                                                                                                                             
     0.00%    bench  libfontconfig.so.1.4.4   [.] strcmp@plt                                                                                                                                                                                                                                                                                                                                                                                                           
     0.00%    bench  libfontconfig.so.1.4.4   [.] FcStrSetMember                                                                                                                                                                                                                                                                                                                                                                                                       
     0.00%    bench  libm-2.15.so             [.] __powf_finite                                                                                                                                                                                                                                                                                                                                                                                                        
     0.00%    bench  libm-2.15.so             [.] powf                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.00%    bench  libc-2.15.so             [.] vfprintf                                                                                                                                                                                                                                                                                                                                                                                                             
     0.00%    bench  libfreetype.so.6.8.0     [.] TT_RunIns                                                                                                                                                                                                                                                                                                                                                                                                            


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
