# ========
# captured on: Mon Jul 15 17:21:42 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match draw_stroke_rect_bevel --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 38, 39, 40, 41, 42, 43, 44, 45 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2248253380
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.04%    bench  libdricore.so            [.] _mesa_BindTexture                                                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] GrDrawTarget::popGeometrySource()                                                                                                                                                                                                                    
     0.04%    bench  nouveau_dri.so           [.] nouveau_user_buffer_create                                                                                                                                                                                                                           
     0.04%    bench  nouveau_dri.so           [.] nv50_miptree_transfer_map                                                                                                                                                                                                                            
     0.04%    bench  bench                    [.] glTexSubImage2D@plt                                                                                                                                                                                                                                  
     0.04%    bench  bench                    [.] GrAAConvexPathRenderer::canDrawPath(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, bool) const                                                                                                                                              
     0.04%    bench  nouveau_dri.so           [.] nouveau_fence_work                                                                                                                                                                                                                                   
     0.04%    bench  libdricore.so            [.] _mesa_BufferSubDataARB                                                                                                                                                                                                                               
     0.04%    bench  bench                    [.] GrDrawState::srcAlphaWillBeOne() const                                                                                                                                                                                                               
     0.04%    bench  libgallium.so            [.] st_texture_image_unmap                                                                                                                                                                                                                               
     0.04%    bench  libc-2.15.so             [.] mmap64                                                                                                                                                                                                                                               
     0.04%    bench  bench                    [.] SkPath::addPoly(SkPoint const*, int, bool)                                                                                                                                                                                                           
     0.04%    bench  bench                    [.] SkString::~SkString()                                                                                                                                                                                                                                
     0.04%    bench  bench                    [.] GrClipMaskManager::setupClipping(GrClipData const*, GrDrawState::AutoRestoreEffects*)                                                                                                                                                                
     0.04%    bench  bench                    [.] GrGpuGL::HWGeometryState::bindArrayAndBuffersToDraw(GrGpuGL*, GrGLVertexBuffer const*, GrGLIndexBuffer const*)                                                                                                                                       
     0.04%    bench  libgallium.so            [.] cso_set_vertex_sampler_views                                                                                                                                                                                                                         
     0.04%    bench  bench                    [.] GrInOrderDrawBuffer::reset()                                                                                                                                                                                                                         
     0.04%    bench  libdricore.so            [.] _mesa_lookup_bufferobj                                                                                                                                                                                                                               
     0.04%    bench  bench                    [.] GrDrawTarget::reserveVertexAndIndexSpace(int, int, void**, void**)                                                                                                                                                                                   
     0.04%    bench  bench                    [.] SkMallocPixelRef::~SkMallocPixelRef()                                                                                                                                                                                                                
     0.04%    bench  libdricore.so            [.] _mesa_valid_to_render                                                                                                                                                                                                                                
     0.04%    bench  bench                    [.] GrBufferAllocPool::destroyBlock()                                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] GrDrawTarget::canApplyCoverage() const                                                                                                                                                                                                               
     0.04%    bench  libdricore.so            [.] _mesa_texstore                                                                                                                                                                                                                                       
     0.04%    bench  bench                    [.] GrContext::getQuadIndexBuffer() const                                                                                                                                                                                                                
     0.04%    bench  bench                    [.] GrGLProgram::setColor(GrDrawState const&, unsigned int, GrGLProgram::SharedGLState*)                                                                                                                                                                 
     0.04%    bench  bench                    [.] GrEffectRef::~GrEffectRef()                                                                                                                                                                                                                          
     0.04%    bench  bench                    [.] SkBitmap::updatePixelsFromRef() const                                                                                                                                                                                                                
     0.04%    bench  bench                    [.] SkFixedMul_portable(int, int)                                                                                                                                                                                                                        
     0.04%    bench  bench                    [.] GrMemoryPool::release(void*)                                                                                                                                                                                                                         
     0.04%    bench  libdricore.so            [.] _mesa_reference_buffer_object_                                                                                                                                                                                                                       
     0.04%    bench  libgallium.so            [.] st_pipe_vertex_format                                                                                                                                                                                                                                
     0.04%    bench  bench                    [.] GrDrawTarget::DrawInfo::operator=(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                     
     0.04%    bench  bench                    [.] GrDrawState::setDefaultVertexAttribs()                                                                                                                                                                                                               
     0.04%    bench  bench                    [.] draw_rect(RRectRec const*, int)                                                                                                                                                                                                                      
     0.04%    bench  bench                    [.] GrGLProgram::setData(GrGpuGL*, GrDrawState::BlendOptFlags, GrEffectStage const**, GrEffectStage const**, GrDeviceCoordTexture const*, GrGLProgram::SharedGLState*)                                                                                   
     0.04%    bench  bench                    [.] SkPathRef::~SkPathRef()                                                                                                                                                                                                                              
     0.04%    bench  bench                    [.] SkPaint::doComputeFastBounds(SkRect const&, SkRect*, SkPaint::Style) const                                                                                                                                                                           
     0.04%    bench  bench                    [.] SkRect::setBoundsCheck(SkPoint const*, int)                                                                                                                                                                                                          
